Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","1999","1999","t","87815.57","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2000","2000","t","91059.86","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2001","2001","t","116563","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2002","2002","t","108957","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2003","2003","t","94041","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2004","2004","t","102021","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2005","2005","t","111524","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2006","2006","t","112402","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2007","2007","t","121066","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2008","2008","t","135434","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2009","2009","t","141275","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2010","2010","t","147371","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2011","2011","t","142819","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2012","2012","t","143216","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2013","2013","t","131822","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2014","2014","t","214343.23","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2015","2015","t","201149.38","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2016","2016","t","179418.14","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2017","2017","t","206320.06","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2018","2018","t","194650.55","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2019","2019","t","219407.94","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2020","2020","t","219202.45","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2021","2021","t","226655.13","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2022","2022","t","224082.65","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2023","2023","t","243218.86","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","23610.01","Cocoa paste not defatted","2024","2024","t","228411.13","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1991","1991","t","33206","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1992","1992","t","31164","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1993","1993","t","30993","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1994","1994","t","4700","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1995","1995","t","1012","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1996","1996","t","4895","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1997","1997","t","4960.58","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1998","1998","t","6397.58","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","1999","1999","t","9829.47","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2000","2000","t","12638.49","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2001","2001","t","20558","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2002","2002","t","30926","A","Official value",""
