"ln_total_export_gh","ln_precio_productor_usd_gh","ln_precio_internacional_nominal_gh","smuggling_incentive"
12.5094090101746,6.41231075725445,7.08595027767631,0.859379407616361
12.4208192005422,6.35437004079735,7.00267144178105,0.760984647961885
12.5571405946113,5.98569795221364,7.01833465267885,0.563075180518193
12.4527879864253,5.77548278882139,7.24134240529369,0.568029608741629
12.4568049043833,6.36955845842001,7.26712409119733,0.910622367805334
13.0902247811539,6.36457862499849,7.28315056541396,0.928697042366107
12.6132575738993,6.37314912655074,7.38939922938249,0.795303379937559
12.7399413758577,6.65762586258294,7.42439397406043,1.00972510373444
12.6936757723061,6.73791549969024,7.0346668924732,1.48425681618294
12.9361659538535,6.02320543289204,6.80880933111291,0.93926296633303
12.8154565138769,6.18435505525117,6.97422942558434,0.751743375174338
12.8198903223595,6.66236611872061,7.48316473535724,0.823752368919773
12.948735917187,6.92165818415113,7.46787217943685,0.856563608717689
13.4821363175933,6.9083550990541,7.34591253726605,2.5538540071465
13.3075097074337,6.90083136390931,7.33831590424682,1.59227192560526
13.4184212744979,6.90615399761516,7.37268495586924,1.5219512195122
13.2750492019977,6.88591858437296,7.57674764439374,1.23395131794678
13.1152744502282,7.03385915577786,7.85442634876052,1.08773612043341
12.9588783814146,7.05479502163145,7.96857927571061,0.882254379284082
12.6948806711622,7.42482139033758,8.04974752102804,0.845014359852874
13.5319344710714,7.50273821075485,7.99970432184261,1.06534257844635
13.3198497482821,7.49409177637343,7.77983036985548,1.26575126770775
13.2235276973344,7.44539656635595,7.79928053116398,1.12738454360699
13.792178406387,7.06564599237295,8.02690195328976,0.680245528491635
13.553685774011,7.30385092156336,8.05039880703099,0.878547344727465
13.5813225278102,7.46118740658676,7.96927529886359,0.936969806558057
13.6418169415753,7.46560508332527,7.61550080002429,1.44908056052276
13.9516133035504,7.41304253976294,7.73795130450336,1.2275082162701
13.7808272782326,7.2839107216549,7.75825728631923,1.03452251255761
13.6450037172935,7.29475568802091,7.77058791884534,0.847583253922906
13.6640164011199,7.50598836367829,7.79421821910835,0.885541437896904
13.5693690802737,7.15190388476387,7.78029438192397,0.99410794854788
13.4638850501385,7.05745159302792,8.09580193275883,0.867618931468876
13.1769031369266,7.75593846164161,8.89968247629591,0.91771455517133
