"area","year","value_export","total_production","derivado1","derivado2","derivado3","precio_kg_nominal","precio_kg_real","precio_local","tipo_cambio","precio_usd","total_derivados","total_export","precio_internacional_nominal","precio_internacional_real","ln_production","ln_total_export","ln_precio_productor_usd","ln_tipo_cambio","ln_precio_internacional_nominal","ln_precio_internacional_real"
"Ghana",2009,395711,710638,10490,100,12544,2.88875032967,2.99476501106,1632,1.40496666666667,1158.4,28878.62,424589.62,2888.75032967,2994.76501106,13.4739184370751,12.9588783814146,7.05479502163145,0.340013577711864,7.96857927571061,8.00462104705735
"Ghana",2010,281437,632037.4,23026,2920,8782,3.13300385383,3.13300385383,2400,1.42998333333333,1677.1,44637.34,326074.34,3133.00385383,3133.00385383,13.3567038485933,12.6948806711622,7.42482139033758,0.357662789192241,8.04974752102804,8.04974752102804
"Ghana",2011,697394,700020,39054,3000,0,2.98007671317,2.68378666532,2741,1.520625,1813,55691.82,753085.82,2980.07671317,2683.78666532,13.458864185046,13.5319344710714,7.50273821075485,0.41912143455565,7.99970432184261,7.89498401107265
"Ghana",2012,585929,879348,17442,1,34,2.39186905303,2.16988937043,3280,1.82486666666667,1797.39159025317,23239.23,609168.23,2391.86905303,2169.88937043,13.6869360027547,13.3198497482821,7.49409177637343,0.601506925004759,7.77983036985548,7.68243146386625
"Ghana",2013,526187,835466,20038,100,226,2.43884667208,2.22218375588,3392,1.98135,1711.96406490524,27042.22,553229.22,2438.84667208,2222.18375588,13.6357449319945,13.2235276973344,7.44539656635595,0.683778430555845,7.79928053116398,7.70624566519609
"Ghana",2014,747612.36,858720,38070.37,93585.07,52297.16,3.06224,2.8288591224,3392,2.896575,1171.03820891915,229325.5784,976937.9384,3062.24,2828.8591224,13.6631981874107,13.792178406387,7.06564599237295,1.06352900453884,8.02690195328976,7.9476287723946
"Ghana",2015,572624.18,858720,24455.51,86245.01,48042.03,3.135045,3.20327475222,5520,3.71464166666667,1486.01143672449,197021.6862,769645.8662,3135.045,3203.27475222,13.6631981874107,13.553685774011,7.30385092156336,1.31228221770778,8.05039880703099,8.07192892558062
"Ghana",2016,581374.81,858720,32426,88248,47798,2.89076166667,3.07429721011,6800,3.90981666666667,1739.21198351159,209838.22,791213.03,2890.76166667,3074.29721011,13.6631981874107,13.5813225278102,7.46118740658676,1.36349048457744,7.96927529886359,8.03083160456146
"Ghana",2017,573333.77,969300,56134.02,38092.63,122836.09,2.02941083333,2.08593980197,7600,4.35053333333333,1746.91225596862,267220.6203,840554.3903,2029.41083333,2085.93980197,13.7843294404807,13.6418169415753,7.46560508332527,1.47029844294915,7.61550080002429,7.6429747770283
"Ghana",2018,843641.39,904700,62226.53,46439.05,136735.7,2.29376833333,2.25188330388,7600,4.585325,1657.46157578798,302158.2234,1145799.6134,2293.76833333,2251.88330388,13.7153586760138,13.9516133035504,7.41304253976294,1.52286098651148,7.73795130450336,7.71952216903594
"Ghana",2019,643642.78,811700,69302.84,86080.41,103809.51,2.34082166667,2.35305756601,7600,5.21736666666667,1456.67354540285,322268.5115,965911.2915,2340.82166667,2353.05756601,13.6068860927493,13.7808272782326,7.2839107216549,1.65199280461952,7.75825728631923,7.76347085337073
"Ghana",2020,527289.78,8e+05,55444.38,108187.95,90653.88,2.36986416667,2.42069884235955,8240,5.59570833333333,1472.55709360596,315947.5413,843237.3213,2369.86416667,2420.69884235955,13.5923670066501,13.6450037172935,7.29475568802091,1.7219999348826,7.77058791884534,7.79181155529696
"Ghana",2021,518929.05,1047385,74652.95,122653.95,74481.35,2.42653166667,2.21803625838208,10560,5.8057,1818.90211344024,340493.854,859422.904,2426.53166667,2218.03625838208,13.8618071395487,13.6640164011199,7.50598836367829,1.75884019358196,7.79421821910835,7.70437751510856
"Ghana",2022,456303.75,683300,60201.8,130603.68,69648.19,2.39297916667,2.03744501206471,10560,8.2724,1276.53401673033,325507.8582,781811.6082,2392.97916667,2037.44501206471,13.4346892807689,13.5693690802737,7.15190388476387,2.11292467249638,7.78029438192397,7.61945185680714
"Ghana",2023,433288.04,653700,53204.35,99327.57,63842.59,3.28066666667,2.8752556237248,12800,11.0204083333333,1161.48146355739,270255.5042,703543.5442,3280.66666667,2875.2556237248,13.3904038096008,13.4638850501385,7.05745159302792,2.39974885687979,8.09580193275883,7.96389686187889
"Ghana",2024,320152.32,530000,42648.02,73930.39,49779.71,7.32964583333,6.36806762235447,33120,14.1819416666667,2335.4,207874.9119,528027.2319,7329.64583333,6368.06762235447,13.1806322855283,13.1769031369266,7.75593846164161,2.65196944167822,8.89968247629591,8.75905134655616
