"ln_total_export_gh","ln_precio_productor_usd_gh","ln_precio_internacional_real_gh","smuggling_incentive"
12.5094090101746,6.41231075725445,7.2854734073362,0.859379407616361
12.4208192005422,6.35437004079735,7.18367612289087,0.760984647961885
12.5571405946113,5.98569795221364,7.16541328460456,0.563075180518193
12.4527879864253,5.77548278882139,7.41891628358369,0.568029608741629
12.4568049043833,6.36955845842001,7.35137524198894,0.910622367805334
13.0902247811539,6.36457862499849,7.38663925851436,0.928697042366107
12.6132575738993,6.37314912655074,7.54112798398764,0.795303379937559
12.7399413758577,6.65762586258294,7.62076257160265,1.00972510373444
12.6936757723061,6.73791549969024,7.25044528321018,1.48425681618294
12.9361659538535,6.02320543289204,7.03746806311399,0.93926296633303
12.8154565138769,6.18435505525117,7.24106366552528,0.751743375174338
12.8198903223595,6.66236611872061,7.76182099660178,0.823752368919773
12.948735917187,6.92165818415113,7.69577704784929,0.856563608717689
13.4821363175933,6.9083550990541,7.50807858785602,2.5538540071465
13.3075097074337,6.90083136390931,7.4695641908565,1.59227192560526
13.4184212744979,6.90615399761516,7.47882355193101,1.5219512195122
13.2750492019977,6.88591858437296,7.6235248359545,1.23395131794678
13.1152744502282,7.03385915577786,7.82651939550904,1.08773612043341
12.9588783814146,7.05479502163145,8.00462104705735,0.882254379284082
12.6948806711622,7.42482139033758,8.04974752102804,0.845014359852874
13.5319344710714,7.50273821075485,7.89498401107265,1.06534257844635
13.3198497482821,7.49409177637343,7.68243146386625,1.26575126770775
13.2235276973344,7.44539656635595,7.70624566519609,1.12738454360699
13.792178406387,7.06564599237295,7.9476287723946,0.680245528491635
13.553685774011,7.30385092156336,8.07192892558062,0.878547344727465
13.5813225278102,7.46118740658676,8.03083160456146,0.936969806558057
13.6418169415753,7.46560508332527,7.6429747770283,1.44908056052276
13.9516133035504,7.41304253976294,7.71952216903594,1.2275082162701
13.7808272782326,7.2839107216549,7.76347085337073,1.03452251255761
13.6450037172935,7.29475568802091,7.79181155529696,0.847583253922906
13.6640164011199,7.50598836367829,7.70437751510856,0.885541437896904
13.5693690802737,7.15190388476387,7.61945185680714,0.99410794854788
13.4638850501385,7.05745159302792,7.96389686187889,0.867618931468876
13.1769031369266,7.75593846164161,8.75905134655616,0.91771455517133
