"area","year","value_export","value_production","derivado1","derivado2","derivado3","precio_kg_nominal","precio_kg_real","precio_local","tipo_cambio","precio_usd","total_derivados","total_export","precio_internacional_nominal","precio_internacional_real","ln_production","ln_supply","ln_precio_prodcutor_usd","ln_tipo_cambio","ln_precio_internacional_nominal","ln_precio_internacional_real","smuggling_incentive"
"Côte d'Ivoire",2014,1116999.72,1637777.56,89689.09,214343.23,29504.52,3.06224,2.8288591224,850000,493.757329875312,1721.49343122592,422030.8608,1539030.5808,3062.24,2828.8591224,14.3088507344177,14.2466632831889,7.45094746704427,6.20204416142223,8.02690195328976,7.9476287723946,0.680245528491635
"Côte d'Ivoire",2015,1285987.57,1796000,88680.09,201149.38,25275.75,3.135045,3.20327475222,1e+06,591.21169798261,1691.4414978802,399206.6297,1685194.1997,3135.045,3203.27475222,14.4010725278443,14.3373913671751,7.4333364016813,6.38217415628297,8.05039880703099,8.07192892558062,0.878547344727465
"Côte d'Ivoire",2016,1055635.67,1634000,81685.66,179418.14,23091.22,2.89076166667,3.07429721011,1100000,592.605615063022,1856.20920902516,360162.2424,1415797.9124,2890.76166667,3074.29721011,14.3065415544021,14.1632038258191,7.52629162737362,6.38452911039498,7.96927529886359,8.03083160456146,0.936969806558057
"Côte d'Ivoire",2017,1510082.39,2034000,87642.02,206320.06,29243.14,2.02941083333,2.08593980197,7e+05,580.656749587858,1205.5314960118,408970.8668,1919053.2568,2029.41083333,2085.93980197,14.5255148555906,14.4673425269758,7.094675824208,6.36415978981754,7.61550080002429,7.6429747770283,1.44908056052276
"Côte d'Ivoire",2018,1525594.45,2113189,86963.5,194650.55,28469.65,2.29376833333,2.25188330388,750000,555.446458398226,1350.26515816271,392568.8295,1918163.2795,2293.76833333,2251.88330388,14.563708738883,14.4668786608856,7.20805626559974,6.31977221991275,7.73795130450336,7.71952216903594,1.2275082162701
"Côte d'Ivoire",2019,1621749.24,2235043,83525.57,219407.94,26745.67,2.34082166667,2.35305756601,825000,585.911013180369,1408.06365035168,416908.8237,2038658.0637,2340.82166667,2353.05756601,14.6197710252183,14.5278023374554,7.2499707419119,6.37316792340492,7.75825728631923,7.76347085337073,1.03452251255761
"Côte d'Ivoire",2020,1486051.36,2200000,83247.85,219202.45,28194.05,2.36986416667,2.42069884235955,1e+06,575.586004510945,1737.35982487911,417991.682,1904043.042,2369.86416667,2420.69884235955,14.6039679183285,14.4594901001704,7.46012189785587,6.35538866010841,7.77058791884534,7.79181155529696,0.847583253922906
"Côte d'Ivoire",2021,1609684.58,2228459,92584.73,226655.13,18882.82,2.42653166667,2.21803625838208,1139000,554.530675033104,2054,428738.331,2038422.911,2426.53166667,2218.03625838208,14.6168208731739,14.5276869839946,7.6275443904885,6.31812212542822,7.79421821910835,7.70437751510856,0.885541437896904
"Côte d'Ivoire",2022,1473363.24,2358991,118026.59,224082.65,24353.44,2.39297916667,2.03744501206471,801000,623.759700911182,1284.1,465815.7364,1939178.9764,2392.97916667,2037.44501206471,14.6737445432066,14.4777752334205,7.15781336283723,6.43576519950781,7.78029438192397,7.61945185680714,0.99410794854788
"Côte d'Ivoire",2023,1339307.31,1822441,140931.88,243218.86,20487.11,3.28066666667,2.8752556237248,812000,606.569750165917,1338.7,515637.7652,1854945.0752,3280.66666667,2875.2556237248,14.4156873692271,14.4333656445287,7.19945427279185,6.40781972616718,8.09580193275883,7.96389686187889,0.867618931468876
"Côte d'Ivoire",2024,1059795.49,1890442,128062.82,228411.13,16938.14,7.32964583333,6.36806762235447,1543000,606.345297609063,2544.8,475824.4683,1535619.9583,7329.64583333,6368.06762235447,14.4523212221281,14.2444447390939,7.84180734043493,6.40744962183081,8.89968247629591,8.75905134655616,0.91771455517133
